ISOAlpha3,Country,Indicator,Age,Sex,Year,Domain,Indicator Code,Lower value,Upper value,Value
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,6.99,10.46,8.77
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,6.56,9.41,7.96
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,4.79,6.66,5.71
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,2.79,4.77,3.74
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,5.21,8.76,7
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,8.21,11.62,9.85
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,5.57,7.82,6.69
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,4.92,7.1,5.92
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,5.19,7.07,6.06
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,4.31,6.98,5.61
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,2.64,6.26,4.39
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,7.04,9.69,8.33
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,7.21,11.06,9
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,6.33,9.17,7.69
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,4.87,6.77,5.78
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,2.87,4.76,3.79
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,4.84,8.19,6.51
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,7.84,11.08,9.42
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,5.59,7.84,6.68
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,5.18,7.39,6.26
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,5.07,7.1,6.07
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2011,Level of consumption,SA_0000001688,4.56,7.29,5.89
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2011,Level of consumption,SA_0000001688,2.73,6.35,4.47
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2011,Level of consumption,SA_0000001688,7.11,9.87,8.51
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2011,Level of consumption,SA_0000001688,7.64,11.57,9.6
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2011,Level of consumption,SA_0000001688,6.28,9.14,7.67
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2011,Level of consumption,SA_0000001688,4.93,6.93,5.85
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2011,Level of consumption,SA_0000001688,2.87,4.99,3.86
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2011,Level of consumption,SA_0000001688,4.49,7.7,6.14
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2011,Level of consumption,SA_0000001688,7.66,10.79,9.18
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2011,Level of consumption,SA_0000001688,5.5,7.79,6.6
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2011,Level of consumption,SA_0000001688,5.51,7.8,6.6
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2011,Level of consumption,SA_0000001688,5.17,7.19,6.17
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2012,Level of consumption,SA_0000001688,5.19,8.03,6.58
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2012,Level of consumption,SA_0000001688,2.71,6.4,4.54
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2012,Level of consumption,SA_0000001688,7.33,10.2,8.77
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2012,Level of consumption,SA_0000001688,7.94,11.83,9.85
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2012,Level of consumption,SA_0000001688,6.31,9.37,7.8
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2012,Level of consumption,SA_0000001688,5.06,6.99,5.9
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2012,Level of consumption,SA_0000001688,2.92,4.9,3.89
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2012,Level of consumption,SA_0000001688,4.61,7.73,6.11
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2012,Level of consumption,SA_0000001688,7.42,10.65,8.96
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2012,Level of consumption,SA_0000001688,5.39,7.74,6.53
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2012,Level of consumption,SA_0000001688,5.73,8,6.85
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2012,Level of consumption,SA_0000001688,5.32,7.37,6.31
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2013,Level of consumption,SA_0000001688,5.79,9.04,7.33
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2013,Level of consumption,SA_0000001688,2.81,6.49,4.61
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2013,Level of consumption,SA_0000001688,7.67,10.58,9.11
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2013,Level of consumption,SA_0000001688,7.42,11,9.2
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2013,Level of consumption,SA_0000001688,6.56,9.5,7.97
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2013,Level of consumption,SA_0000001688,5.05,7.03,5.97
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2013,Level of consumption,SA_0000001688,2.98,4.91,3.92
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2013,Level of consumption,SA_0000001688,4.52,7.69,6.1
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2013,Level of consumption,SA_0000001688,7.35,10.69,8.94
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2013,Level of consumption,SA_0000001688,5.49,7.76,6.55
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2013,Level of consumption,SA_0000001688,5.57,7.91,6.75
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2013,Level of consumption,SA_0000001688,5.47,7.63,6.47
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2014,Level of consumption,SA_0000001688,6,9.38,7.67
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2014,Level of consumption,SA_0000001688,2.7,6.53,4.66
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2014,Level of consumption,SA_0000001688,8,11.33,9.53
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2014,Level of consumption,SA_0000001688,6.91,10.39,8.61
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2014,Level of consumption,SA_0000001688,6.81,9.82,8.23
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2014,Level of consumption,SA_0000001688,5.03,6.91,5.89
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2014,Level of consumption,SA_0000001688,3.09,4.87,3.96
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2014,Level of consumption,SA_0000001688,4.59,7.65,6.09
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2014,Level of consumption,SA_0000001688,7.33,10.77,9.05
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2014,Level of consumption,SA_0000001688,5.6,7.89,6.74
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2014,Level of consumption,SA_0000001688,5.21,7.52,6.35
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2014,Level of consumption,SA_0000001688,5.56,7.77,6.63
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2015,Level of consumption,SA_0000001688,6.14,9.65,7.84
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2015,Level of consumption,SA_0000001688,2.85,6.71,4.72
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2015,Level of consumption,SA_0000001688,8.38,11.89,10.04
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2015,Level of consumption,SA_0000001688,6.29,9.5,7.82
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2015,Level of consumption,SA_0000001688,7.05,10.14,8.48
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2015,Level of consumption,SA_0000001688,4.93,6.71,5.76
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2015,Level of consumption,SA_0000001688,3.06,4.89,3.97
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2015,Level of consumption,SA_0000001688,4.65,7.75,6.13
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2015,Level of consumption,SA_0000001688,7.69,11.03,9.36
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2015,Level of consumption,SA_0000001688,5.77,8.18,7
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2015,Level of consumption,SA_0000001688,5.17,7.47,6.31
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2015,Level of consumption,SA_0000001688,5.48,7.88,6.67
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2016,Level of consumption,SA_0000001688,6.45,10.05,8.19
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2016,Level of consumption,SA_0000001688,2.8,6.66,4.76
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2016,Level of consumption,SA_0000001688,8.65,12.09,10.36
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2016,Level of consumption,SA_0000001688,6.19,9.45,7.8
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2016,Level of consumption,SA_0000001688,7.19,10.27,8.68
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2016,Level of consumption,SA_0000001688,4.71,6.46,5.53
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2016,Level of consumption,SA_0000001688,3.21,5.01,4.04
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2016,Level of consumption,SA_0000001688,4.49,7.72,6.19
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2016,Level of consumption,SA_0000001688,7.82,11.37,9.61
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2016,Level of consumption,SA_0000001688,5.98,8.43,7.22
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2016,Level of consumption,SA_0000001688,5.34,7.62,6.51
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2016,Level of consumption,SA_0000001688,5.52,7.78,6.59
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2017,Level of consumption,SA_0000001688,6.95,10.65,8.81
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2017,Level of consumption,SA_0000001688,2.88,6.7,4.77
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2017,Level of consumption,SA_0000001688,8.7,12.32,10.47
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2017,Level of consumption,SA_0000001688,5.9,9.06,7.49
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2017,Level of consumption,SA_0000001688,7.35,10.37,8.85
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2017,Level of consumption,SA_0000001688,4.65,6.3,5.41
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2017,Level of consumption,SA_0000001688,3.24,5.06,4.12
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2017,Level of consumption,SA_0000001688,4.76,7.92,6.27
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2017,Level of consumption,SA_0000001688,8.06,11.29,9.63
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2017,Level of consumption,SA_0000001688,6.04,8.53,7.25
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2017,Level of consumption,SA_0000001688,5.76,8.21,7.01
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2017,Level of consumption,SA_0000001688,5.42,7.66,6.48
ATG,Antigua and Barbuda,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2018,Level of consumption,SA_0000001688,7.36,11.32,9.4
BHS,Bahamas,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2018,Level of consumption,SA_0000001688,2.95,6.72,4.8
BRB,Barbados,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2018,Level of consumption,SA_0000001688,8.49,12.12,10.37
DMA,Dominica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2018,Level of consumption,SA_0000001688,5.74,8.64,7.23
GRD,Grenada,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2018,Level of consumption,SA_0000001688,7.31,10.58,8.96
GUY,Guyana,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2018,Level of consumption,SA_0000001688,4.53,6.17,5.33
JAM,Jamaica,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2018,Level of consumption,SA_0000001688,3.29,5.1,4.16
KNA,Saint Kitts and Nevis,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2018,Level of consumption,SA_0000001688,4.85,7.98,6.34
LCA,Saint Lucia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2018,Level of consumption,SA_0000001688,7.85,11.21,9.59
VCT,Saint Vincent and the Grenadines,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2018,Level of consumption,SA_0000001688,5.96,8.42,7.15
SUR,Suriname,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2018,Level of consumption,SA_0000001688,6.05,8.72,7.4
TTO,Trinidad and Tobago,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2018,Level of consumption,SA_0000001688,5.48,7.68,6.52
ARG,Argentina,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2000,Level of consumption,SA_0000001688,7.25,10.29,8.74
BRA,Brazil,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2000,Level of consumption,SA_0000001688,7.42,10.5,8.94
CHL,Chile,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2000,Level of consumption,SA_0000001688,6.48,9.08,7.75
PRY,Paraguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2000,Level of consumption,SA_0000001688,5.16,7.41,6.27
URY,Uruguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2000,Level of consumption,SA_0000001688,6.91,9.87,8.42
ARG,Argentina,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2001,Level of consumption,SA_0000001688,7.25,10.29,8.74
BRA,Brazil,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2001,Level of consumption,SA_0000001688,7.42,10.5,8.94
CHL,Chile,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2001,Level of consumption,SA_0000001688,6.48,9.08,7.75
PRY,Paraguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2001,Level of consumption,SA_0000001688,5.16,7.41,6.27
URY,Uruguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2001,Level of consumption,SA_0000001688,6.91,9.87,8.42
ARG,Argentina,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2002,Level of consumption,SA_0000001688,7.31,10.19,8.72
BRA,Brazil,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2002,Level of consumption,SA_0000001688,7.21,10.16,8.72
CHL,Chile,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2002,Level of consumption,SA_0000001688,6.51,9.12,7.81
PRY,Paraguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2002,Level of consumption,SA_0000001688,4.82,6.88,5.84
URY,Uruguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2002,Level of consumption,SA_0000001688,6.15,9.13,7.63
ARG,Argentina,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2003,Level of consumption,SA_0000001688,7.24,10.2,8.67
BRA,Brazil,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2003,Level of consumption,SA_0000001688,7.03,9.96,8.49
CHL,Chile,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2003,Level of consumption,SA_0000001688,6.71,9.2,7.9
PRY,Paraguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2003,Level of consumption,SA_0000001688,4.63,6.85,5.74
URY,Uruguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2003,Level of consumption,SA_0000001688,5.83,8.52,7.13
ARG,Argentina,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2004,Level of consumption,SA_0000001688,7.1,10.04,8.6
BRA,Brazil,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2004,Level of consumption,SA_0000001688,6.89,9.82,8.35
CHL,Chile,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2004,Level of consumption,SA_0000001688,7.24,9.91,8.53
PRY,Paraguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2004,Level of consumption,SA_0000001688,4.92,7.19,6.05
URY,Uruguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2004,Level of consumption,SA_0000001688,5.77,8.51,7.13
ARG,Argentina,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2005,Level of consumption,SA_0000001688,7.32,10.06,8.66
BRA,Brazil,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2005,Level of consumption,SA_0000001688,6.98,9.67,8.35
CHL,Chile,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2005,Level of consumption,SA_0000001688,7.59,10.46,8.93
PRY,Paraguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2005,Level of consumption,SA_0000001688,5.48,7.84,6.66
URY,Uruguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2005,Level of consumption,SA_0000001688,6.21,8.8,7.48
ARG,Argentina,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2006,Level of consumption,SA_0000001688,7.41,10.3,8.86
BRA,Brazil,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2006,Level of consumption,SA_0000001688,7.08,9.75,8.41
CHL,Chile,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2006,Level of consumption,SA_0000001688,8.02,10.93,9.38
PRY,Paraguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2006,Level of consumption,SA_0000001688,5.83,8.32,7.03
URY,Uruguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2006,Level of consumption,SA_0000001688,6.44,9.07,7.66
ARG,Argentina,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2007,Level of consumption,SA_0000001688,7.81,10.68,9.17
BRA,Brazil,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2007,Level of consumption,SA_0000001688,7.09,9.85,8.41
CHL,Chile,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2007,Level of consumption,SA_0000001688,7.83,10.8,9.27
PRY,Paraguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2007,Level of consumption,SA_0000001688,6.37,8.95,7.62
URY,Uruguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2007,Level of consumption,SA_0000001688,6.44,9.13,7.7
ARG,Argentina,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2008,Level of consumption,SA_0000001688,7.92,10.78,9.37
BRA,Brazil,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2008,Level of consumption,SA_0000001688,7.06,9.8,8.39
CHL,Chile,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2008,Level of consumption,SA_0000001688,7.99,10.83,9.41
PRY,Paraguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2008,Level of consumption,SA_0000001688,6.32,9.13,7.71
URY,Uruguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2008,Level of consumption,SA_0000001688,6.35,9.1,7.63
ARG,Argentina,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,7.94,10.76,9.37
BRA,Brazil,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,7.05,9.99,8.44
CHL,Chile,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,8.1,10.91,9.47
PRY,Paraguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,6.39,9.31,7.85
URY,Uruguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2009,Level of consumption,SA_0000001688,6.09,8.69,7.35
ARG,Argentina,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,7.63,10.47,9.12
BRA,Brazil,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,7.12,9.97,8.52
CHL,Chile,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,7.97,10.67,9.31
PRY,Paraguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,6.14,8.95,7.59
URY,Uruguay,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2010,Level of consumption,SA_0000001688,5.99,8.41,7.12
